-60.08,-12.3
-62.7967,-2.2896
-62.782,7.71474
-62.7612,17.7554
-62.4043,27.7743
-59.4846,37.3683
-51.6669,43.6259
-41.8854,47.8429
-35.9667,50.2755
-22.4169,52.371
-12.4297,52.5599
-2.42178,52.6842
7.66386,52.7001
17.7421,52.819
27.7642,52.9821
37.9065,52.9711
47.9423,52.932
58.0319,52.967
68.0334,52.9463
78.1035,52.9229
88.1396,53.21
98.156,53.516
108.18,53.948
118.267,54.0193
128.515,54.046
138.523,53.036
148.364,52.5691
158.466,52.311
168.486,51.9678
178.642,51.748
184.648,51.0796
194.626,49.039
206.348,49.1701
218.718,45.3224
225.449,38.8436
230.704,28.3375
230.074,18.3614
229.603,10.82371
220.556,3.05
214.686,3.3161
203.537,3.60
192.483,3.7853
182.296,3.94
172.31,3.9567
162.327,3.95
155.257,3.95
145.364,3.95
140.537,3.81
135.295,3.78
130.234,3.73
123.079,11.52762
123.66,17.8483
124.327,27.8776
124.387,37.8237
125.019,44.326
112.923,50.9254
103.458,51.5172
93.3775,51.1008
83.3652,52.6399
78.256,52.669
73.3252,52.585
68.256,52.035
63.3181,52.004
53.2836,52.731
44.0641,44.0846
45.064,35.0631
46.0000,25.0252
45.589,15.0441
45.023,10.41624
32.0174,4.174
25.2123,4.2469
20.345,3.834
15.1975,2.515
5.10329,2.1070
-4.89169,2.0554
-10.5467,1.9205
-14.9555,1.901
-24.996,2.3037
-34.9995,2.65123
-45.0174,3.15277
-54.9948,1.82403
-62.2722,-7.26771
